no,name,kor,eng,math,total,avg
1,Joscelin,53,79,90,222,74
2,Yettie,78,67,87,232,77
3,Walden,72,59,97,228,76
4,Berk,72,63,97,232,77
5,Daune,99,70,83,252,84
6,Diarmid,51,53,69,173,57
7,Kristin,94,84,65,243,81
8,Ryun,93,92,93,278,92
9,Karleen,81,78,85,244,81
10,Elane,85,52,50,187,62
11,Gawain,57,88,51,196,65
12,Skippy,51,82,73,206,68
13,Riki,91,60,91,242,80
14,Lyndsie,96,90,50,236,78
15,Trudie,58,78,67,203,67
16,Link,66,95,69,230,76
17,Phillipe,78,70,78,226,75
18,Aubry,85,83,98,266,88
19,Felike,64,98,73,235,78
20,Carilyn,82,73,91,246,82
21,Gilbertine,57,97,80,234,78
22,Elissa,52,91,72,215,71
23,Oswell,61,50,75,186,62
24,Calv,53,98,51,202,67
25,Cassie,86,100,62,248,82
26,Lois,78,59,83,220,73
27,Ebony,93,71,76,240,80
28,Dud,93,65,66,224,74
29,Ferguson,72,99,76,247,82
30,Dianna,73,72,50,195,65
31,Zabrina,80,94,58,232,77
32,Priscella,58,63,68,189,63
33,Nike,56,71,89,216,72
34,Neely,89,55,88,232,77
35,Adeline,86,83,58,227,75
36,Floyd,67,54,70,191,63
37,Gianina,74,75,92,241,80
38,Cathy,56,71,91,218,72
39,Lettie,62,59,63,184,61
40,Lemmie,87,87,51,225,75
41,Romy,57,93,70,220,73
42,Carlynn,51,72,92,215,71
43,Dede,81,85,58,224,74
44,Garvey,56,65,82,203,67
45,Winne,87,99,70,256,85
46,Keri,70,81,57,208,69
47,Ofella,83,81,79,243,81
48,Terese,55,71,81,207,69
49,Gertie,82,91,84,257,85
50,Adena,67,71,53,191,63
51,Ethel,100,76,60,236,78
52,Daveta,91,69,53,213,71
53,Napoleon,55,61,93,209,69
54,Forest,61,59,71,191,63
55,Knox,60,57,51,168,56
56,Basile,56,74,69,199,66
57,Billy,50,84,88,222,74
58,Ronica,99,100,88,287,95
59,Wood,89,61,83,233,77
60,Frankie,55,87,93,235,78
61,Maryjane,66,62,77,205,68
62,Jed,74,73,58,205,68
63,Kala,88,88,90,266,88
64,Theresina,62,77,53,192,64
65,Corney,66,52,58,176,58
66,Mireielle,89,84,67,240,80
67,Tommie,83,71,58,212,70
68,Lois,100,65,54,219,73
69,Anstice,67,85,64,216,72
70,Gale,83,64,86,233,77
71,Fidel,68,96,63,227,75
72,Sylvester,56,60,72,188,62
73,Elliott,75,97,77,249,83
74,Lorine,78,97,57,232,77
75,Kendricks,82,57,59,198,66
76,Witty,80,89,94,263,87
77,Maison,71,87,54,212,70
78,Garnet,54,84,53,191,63
79,Della,86,55,96,237,79
80,Mae,96,62,71,229,76
81,Maribel,79,60,82,221,73
82,Barnard,74,70,74,218,72
83,Wat,96,64,63,223,74
84,Velvet,98,54,77,229,76
85,Shandeigh,88,99,52,239,79
86,Olivette,62,62,83,207,69
87,Bertina,90,61,61,212,70
88,Alyssa,61,70,72,203,67
89,Jasper,58,50,81,189,63
90,Kristina,70,100,72,242,80
91,Karia,54,86,53,193,64
92,Vanya,91,85,52,228,76
93,Astrix,78,67,93,238,79
94,Dawn,59,92,73,224,74
95,Moshe,94,94,52,240,80
96,Fara,80,84,95,259,86
97,Hedy,77,60,75,212,70
98,Issi,74,93,69,236,78
99,Dniren,93,76,50,219,73
100,Caresse,50,95,97,242,80
