no,name,kor,eng,math,total,avg,rank,c_date
1,Croux,100,78,87,265,88,0,2024-04-05
2,Burtonwood,74,61,95,230,76,0,2024-04-01
3,Dallyn,86,77,63,226,75,0,2024-04-01
4,Brockington,71,67,65,203,67,0,2024-04-08
5,Bonelle,70,76,99,245,81,0,2024-04-06
6,Foyston,76,64,57,197,65,0,2024-04-06
7,Pearson,63,92,51,206,68,0,2024-04-05
8,Marron,61,81,90,232,77,0,2024-04-02
9,Bear,87,62,95,244,81,0,2024-04-06
10,Klassmann,88,99,89,276,92,0,2024-04-05
11,Wilding,95,84,82,261,87,0,2024-04-04
12,Ogglebie,75,81,67,223,74,0,2024-04-07
13,Alder,74,52,92,218,72,0,2024-04-01
14,Doumic,83,90,85,258,86,0,2024-04-09
15,MacConchie,79,83,76,238,79,0,2024-04-04
16,Larrosa,54,77,62,193,64,0,2024-04-04
17,Wooding,95,72,94,261,87,0,2024-04-05
18,Kaplin,60,100,63,223,74,0,2024-04-03
19,Kirsop,93,99,56,248,82,0,2024-04-07
20,Pedwell,70,100,64,234,78,0,2024-04-09
21,Gerriets,66,84,91,241,80,0,2024-04-01
22,Massingham,54,92,71,217,72,0,2024-04-04
23,Gilardi,73,93,97,263,87,0,2024-04-01
24,Spaxman,99,52,97,248,82,0,2024-04-03
25,Hellin,67,88,97,252,84,0,2024-04-08
26,Rankcom,73,88,96,257,85,0,2024-04-09
27,Pogson,95,61,78,234,78,0,2024-04-09
28,Artindale,58,73,73,204,68,0,2024-04-04
29,Millgate,85,75,61,221,73,0,2024-04-03
30,Standish,76,91,80,247,82,0,2024-04-04
31,Duplan,53,79,63,195,65,0,2024-04-02
32,Simounet,100,78,99,277,92,0,2024-04-01
33,Chastand,89,89,96,274,91,0,2024-04-03
34,Creavan,80,85,55,220,73,0,2024-04-09
35,Hobbert,67,67,74,208,69,0,2024-04-09
36,Vest,64,67,75,206,68,0,2024-04-06
37,Stidworthy,51,60,75,186,62,0,2024-04-05
38,Mulqueen,75,60,70,205,68,0,2024-04-02
39,Inworth,51,59,94,204,68,0,2024-04-03
40,Hebner,63,82,98,243,81,0,2024-04-02
41,Crayden,83,80,57,220,73,0,2024-04-05
42,Lucus,95,87,50,232,77,0,2024-04-07
43,Ottam,87,94,97,278,92,0,2024-04-06
44,Lutsch,59,83,92,234,78,0,2024-04-03
45,Parram,57,69,55,181,60,0,2024-04-07
46,Harken,53,62,85,200,66,0,2024-04-09
47,Vobes,75,60,55,190,63,0,2024-04-08
48,Muston,56,86,72,214,71,0,2024-04-01
49,Rickerby,92,87,61,240,80,0,2024-04-04
50,Sorensen,80,76,55,211,70,0,2024-04-08
51,Segar,64,80,68,212,70,0,2024-04-01
52,Brydie,69,62,75,206,68,0,2024-04-08
53,Burk,87,70,83,240,80,0,2024-04-06
54,Ridolfi,50,56,84,190,63,0,2024-04-09
55,Hallahan,59,53,53,165,55,0,2024-04-07
56,Cardozo,75,86,59,220,73,0,2024-04-07
57,Gatchell,93,84,67,244,81,0,2024-04-04
58,Damper,71,78,80,229,76,0,2024-04-03
59,Costy,98,53,77,228,76,0,2024-04-02
60,Dwight,96,95,71,262,87,0,2024-04-06
61,Vazquez,93,55,84,232,77,0,2024-04-06
62,Barsby,65,81,88,234,78,0,2024-04-05
63,Rash,54,82,97,233,77,0,2024-04-01
64,Aldis,93,55,76,224,74,0,2024-04-03
65,Isgar,89,50,88,227,75,0,2024-04-07
66,Cubin,94,85,78,257,85,0,2024-04-01
